City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
346,magadan,59.5667,150.8,-14.81,87,99,3.5,RU,1670106655
347,winslow,35.0242,-110.6974,13.1,41,100,4.12,US,1670106645
348,porto novo,6.4965,2.6036,26.22,83,25,3.2,BJ,1670106104
349,port macquarie,-31.4333,152.9167,20.5,74,98,1.09,AU,1670106136
350,champerico,14.3,-91.9167,31.3,72,5,2.27,GT,1670106655
351,santana do livramento,-30.8908,-55.5328,20.3,92,77,3.19,BR,1670106655
352,baruun-urt,46.6806,113.2792,-22.35,85,7,3.75,MN,1670106656
353,marzuq,14.4,46.4667,16.32,42,0,0.79,YE,1670106085
354,broome,42.2506,-75.833,7.01,71,75,8.75,US,1670106656
355,charters towers,-20.1,146.2667,24.72,51,0,5.99,AU,1670106656
356,riyadh,24.6877,46.7219,19.08,37,1,3.16,SA,1670106657
357,cairns,-16.9167,145.7667,28.39,71,40,4.63,AU,1670106448
358,homer,59.6425,-151.5483,1.54,74,0,2.57,US,1670106075
359,kiruna,67.8557,20.2251,-5.49,86,100,1.54,SE,1670106132
360,fukuma,33.7667,130.4667,10.16,79,100,2.57,JP,1670106121
361,capitao poco,-1.7464,-47.0594,24.14,84,100,1.54,BR,1670106657
362,whitehorse,60.7161,-135.0538,-6.06,78,75,4.12,CA,1670106598
